id,image,processed_image,created_datetime
1,grape/static/seg/uploads/IMG_2093.jpg,,2024-05-29T07:23:42.408543+00:00
2,grape/static/seg/uploads/IMG_2093.jpg,,2024-05-29T07:24:42.908836+00:00
3,grape/static/seg/uploads/IMG_2093.jpg,grape/static/seg/processed/IMG_2093_result_box.jpg,2024-05-29T07:54:38.233359+00:00
4,grape/static/seg/uploads/IMG_2094.jpg,grape/static/seg/processed/IMG_2094_result_box.jpg,2024-05-29T07:56:07.079179+00:00
5,grape/static/seg/uploads/IMG_2093.jpg,grape/static/seg/processed/IMG_2093_result_box.jpg,2024-05-29T07:57:12.368462+00:00
6,grape/static/seg/uploads/IMG_2094.jpg,grape/static/seg/processed/IMG_2094_result_box.jpg,2024-05-29T07:58:40.479792+00:00
7,grape/static/seg/uploads/IMG_2093.jpg,grape/static/seg/processed/IMG_2093_result_box.jpg,2024-05-29T08:13:36.295643+00:00
8,grape/static/seg/uploads/IMG_2094.jpg,grape/static/seg/processed/IMG_2094_result_box.jpg,2024-05-29T08:15:09.075252+00:00
9,grape/static/seg/uploads/IMG_2093.jpg,grape/static/seg/processed/IMG_2093_result_box.jpg,2024-05-29T08:20:17.373419+00:00
10,grape/static/seg/uploads/IMG_2094.jpg,grape/static/seg/processed/IMG_2094_result_box.jpg,2024-05-29T08:21:44.884636+00:00
11,grape/static/seg/uploads/IMG_2093.jpg,,2024-05-30T07:16:20.337483+00:00
12,grape/static/seg/uploads/IMG_2093.jpg,,2024-05-30T07:25:17.070434+00:00
13,grape/static/seg/uploads/IMG_2093.jpg,,2024-05-30T07:29:43.812822+00:00
14,grape/static/seg/uploads/IMG_2093.jpg,,2024-05-30T07:31:07.253573+00:00
15,grape/static/seg/uploads/IMG_2093.jpg,,2024-05-30T07:32:57.687845+00:00
16,grape/static/seg/uploads/IMG_2093.jpg,grape/static/seg/processed/IMG_2093_result_box.jpg,2024-05-30T07:38:14.782763+00:00
17,grape/static/seg/uploads/IMG_2093.jpg,,2024-05-30T08:09:58.509660+00:00
18,grape/static/seg/uploads/IMG_2093.jpg,,2024-05-30T08:12:07.141327+00:00
19,grape/static/seg/uploads/IMG_2093.jpg,grape/static/seg/processed/IMG_2093_result_box.jpg,2024-05-30T08:14:46.493458+00:00
20,grape/static/seg/uploads/IMG_2094.jpg,grape/static/seg/processed/IMG_2094_result_box.jpg,2024-05-30T08:14:53.299860+00:00
21,grape/static/seg/uploads/IMG_2093.jpg,grape/static/seg/processed/IMG_2093_result_box.jpg,2024-05-30T08:19:12.942286+00:00
22,grape/static/seg/uploads/IMG_2094.jpg,grape/static/seg/processed/IMG_2094_result_box.jpg,2024-05-30T08:19:19.248348+00:00
23,grape/static/seg/uploads/b_16-1-1-1451_5.jpg,grape/static/seg/processed/b_16-1-1-1451_5_result_box.jpg,2024-05-30T08:58:16.685153+00:00
